,Input ordering,Input size,Run number,Sorting algorithm,Time
0,sorted,10,1,Merge sort,4.104139999999461e-05
1,sorted,10,2,Merge sort,4.263584999998784e-05
2,sorted,10,3,Merge sort,4.121176000003288e-05
3,sorted,10,4,Merge sort,4.2169490000014775e-05
4,sorted,10,5,Merge sort,4.122016999999687e-05
5,sorted,10,6,Merge sort,4.069626000000426e-05
6,sorted,10,7,Merge sort,4.077109999998356e-05
7,sorted,10,1,Heapsort,3.2624230000010355e-05
8,sorted,10,2,Heapsort,3.2583500000009735e-05
9,sorted,10,3,Heapsort,4.330324999996265e-05
10,sorted,10,4,Heapsort,4.340241999998398e-05
11,sorted,10,5,Heapsort,3.9412710000033255e-05
12,sorted,10,6,Heapsort,3.330062999998517e-05
13,sorted,10,7,Heapsort,4.006739999999809e-05
14,sorted,10,1,Quicksort,2.939267000001564e-05
15,sorted,10,2,Quicksort,2.631773999996767e-05
16,sorted,10,3,Quicksort,2.6622210000005e-05
17,sorted,10,4,Quicksort,3.3670720000009166e-05
18,sorted,10,5,Quicksort,3.2677669999975475e-05
19,sorted,10,6,Quicksort,3.296949999999015e-05
20,sorted,10,7,Quicksort,2.5088000000005195e-05
21,sorted,10,1,Built-in Python,9.640905999995085e-07
22,sorted,10,2,Built-in Python,9.363727999998445e-07
23,sorted,10,3,Built-in Python,9.566060000006474e-07
24,sorted,10,4,Built-in Python,9.451773999999204e-07
25,sorted,10,5,Built-in Python,9.528073999999833e-07
26,sorted,10,6,Built-in Python,9.538282000003165e-07
27,sorted,10,7,Built-in Python,9.363672000008592e-07
28,sorted,10,1,Numpy,7.550397999993947e-06
29,sorted,10,2,Numpy,7.634977999996409e-06
30,sorted,10,3,Numpy,7.515448000003744e-06
31,sorted,10,4,Numpy,7.553666000003432e-06
32,sorted,10,5,Numpy,7.6265279999915946e-06
33,sorted,10,6,Numpy,7.636071999995693e-06
34,sorted,10,7,Numpy,7.630325999998604e-06
35,sorted,100,1,Merge sort,0.0005266778000004706
36,sorted,100,2,Merge sort,0.0005405514000003677
37,sorted,100,3,Merge sort,0.0005399921999996877
38,sorted,100,4,Merge sort,0.0005236275999995996
39,sorted,100,5,Merge sort,0.0005279762000000119
40,sorted,100,6,Merge sort,0.0005390199999992547
41,sorted,100,7,Merge sort,0.0005310515999999553
42,sorted,100,1,Heapsort,0.0006344775999996273
43,sorted,100,2,Heapsort,0.0006228579999997236
44,sorted,100,3,Heapsort,0.0006285470000002533
45,sorted,100,4,Heapsort,0.0006481401999999434
46,sorted,100,5,Heapsort,0.0006138350000001083
47,sorted,100,6,Heapsort,0.0006424766000000091
48,sorted,100,7,Heapsort,0.0006267254000003959
49,sorted,100,1,Quicksort,0.0015121804999989764
50,sorted,100,2,Quicksort,0.0015171344999998838
51,sorted,100,3,Quicksort,0.0015043904999993173
52,sorted,100,4,Quicksort,0.0015266550000001189
53,sorted,100,5,Quicksort,0.0015239139999994222
54,sorted,100,6,Quicksort,0.0014966409999988173
55,sorted,100,7,Quicksort,0.0015300850000016907
56,sorted,100,1,Built-in Python,4.424372000003132e-06
57,sorted,100,2,Built-in Python,4.388817999997627e-06
58,sorted,100,3,Built-in Python,4.656809999996767e-06
59,sorted,100,4,Built-in Python,4.542529999998805e-06
60,sorted,100,5,Built-in Python,4.434771999995064e-06
61,sorted,100,6,Built-in Python,4.441136000004917e-06
62,sorted,100,7,Built-in Python,4.471863999997368e-06
63,sorted,100,1,Numpy,1.9223859999988234e-05
64,sorted,100,2,Numpy,1.910504499999206e-05
65,sorted,100,3,Numpy,1.896038499999122e-05
66,sorted,100,4,Numpy,1.9091649999995753e-05
67,sorted,100,5,Numpy,1.8778114999986427e-05
68,sorted,100,6,Numpy,1.898941500001001e-05
69,sorted,100,7,Numpy,1.8828005000000302e-05
70,sorted,1000,1,Merge sort,0.011120131999996374
71,sorted,1000,2,Merge sort,0.00937570400000368
72,sorted,1000,3,Merge sort,0.009033817999998063
73,sorted,1000,4,Merge sort,0.008924827999999252
74,sorted,1000,5,Merge sort,0.007194461999997657
75,sorted,1000,6,Merge sort,0.007103885999995328
76,sorted,1000,7,Merge sort,0.008315024000003177
77,sorted,1000,1,Heapsort,0.010861180000006243
78,sorted,1000,2,Heapsort,0.011004954999998517
79,sorted,1000,3,Heapsort,0.010837854999999763
80,sorted,1000,4,Heapsort,0.011007830000016839
81,sorted,1000,5,Heapsort,0.010880509999992682
82,sorted,1000,6,Heapsort,0.010738960000003317
83,sorted,1000,7,Heapsort,0.01126750500000071
84,sorted,1000,1,Built-in Python,3.897580000002563e-05
85,sorted,1000,2,Built-in Python,3.835156000004645e-05
86,sorted,1000,3,Built-in Python,3.8384339999993245e-05
87,sorted,1000,4,Built-in Python,3.7711399999989225e-05
88,sorted,1000,5,Built-in Python,3.800739999996949e-05
